CountyCd,PrcCode,FullPrc,prec_name,population,
SN,13918904,SN13918904,,0,
SN,13918914,SN13918914,,186,
SN,13958904,SN13958904,,0,
SN,13958908,SN13958908,,0,
SN,13958909,SN13958909,,0,
SN,13958916,SN13958916,,0,
SN,14428913,SN14428913,,0,
SN,20131777,SN20131777,,134,3
SN,21018906,SN21018906,,41,
SN,21018915,SN21018915,,80,
SN,22128901,SN22128901,,0,
SN,23244749,SN23244749,NILE,3,2
SN,23828903,SN23828903,,0,
SN,23918902,SN23918902,,0,
SN,23918906,SN23918906,,10,
SN,23918907,SN23918907,,8,
SN,23918911,SN23918911,,0,
SN,24454591,SN24454591,SLIVER,16,2
SN,72138905,SN72138905,,58,
SN,73238910,SN73238910,,141,
SN,73238917,SN73238917,,0,
