OBJECTID,votdst,NAME,SUM_VOTERS,Shape_Length,Shape_Area
1,3562,ADAIR,509,14129.2154086581,8913971.91548851
2,2381,ALDARRA,787,64188.327201045,142659373.88486
3,3400,ALDER SPRINGS,572,35361.6528844228,66917430.4537191
4,0010,ALDERWOOD,882,38220.4745154092,41765250.433931
5,0013,ALG 30-0013,507,15788.9285661571,10618217.320981
6,0014,ALG 30-0014,567,20153.3184873756,14785892.7767199
7,3141,ALG 30-3141,552,17031.9732033019,10759738.334835
8,2383,ALPINE,618,39865.3177714122,73778576.380145
9,2652,AMES LAKE,438,16371.5550553012,12435148.7289846
10,0022,ANGEL CITY,838,13521.3416506967,6057654.72868972
11,2384,ANGELO,513,22922.8397464155,15784464.8518743
12,3763,ANNIE,214,11057.1496207488,3041877.97786969
13,3769,AQUA,501,7959.31163071609,3409788.60665297
14,3459,ARIA,420,13213.7350990508,4218623.63919421
15,0037,ARTHUR,671,48692.5283422035,100966595.478298
16,3641,ASPEN GLEN,374,19533.9630176634,17522234.7633402
17,0046,AUB 30-0046,353,7952.09092896494,3510634.35556522
18,0053,AUB 30-0053,511,6349.2806466238,2446049.51100859
19,0067,AUB 30-0067,518,54947.0073667892,63771094.4469573
20,2702,AUB 30-2702,520,11054.8908297114,5039528.14270651
21,2703,AUB 30-2703,482,15544.7812502891,6435918.51285015
22,3476,AUB 30-3476,369,10912.5567967146,4657231.57905382
23,0042,AUB 31-0042,565,19137.5051285829,23088176.0178497
24,0047,AUB 31-0047,632,13156.7695484662,4764378.90590969
25,0048,AUB 31-0048,253,13678.2631263093,3997714.61230913
26,0049,AUB 31-0049,597,11313.531125439,4248326.94335602
27,0050,AUB 31-0050,470,9629.69139982659,4674297.48497632
28,0051,AUB 31-0051,558,16420.5375085031,11730820.8607039
29,0054,AUB 31-0054,533,7443.13595023921,3195909.64164524
30,0058,AUB 31-0058,284,7459.76254441823,2595768.07809757
31,0062,AUB 31-0062,705,13357.2967369177,8607058.48251917
32,0063,AUB 31-0063,346,7887.56701279153,2925299.85672269
33,0064,AUB 31-0064,435,19188.3172055968,22230290.78895
34,0065,AUB 31-0065,351,8700.95237753384,3542752.54902548
35,0069,AUB 31-0069,318,11691.8345045771,5936707.29442227
36,0070,AUB 31-0070,728,10619.6066945233,5711892.07030343
37,0078,AUB 31-0078,443,8978.72577280281,4381444.15270019
38,0080,AUB 31-0080,644,27470.1498756307,23297656.09928
39,0081,AUB 31-0081,489,13788.4780586058,6293686.47488938
40,0082,AUB 31-0082,427,13399.6448142895,5851287.13198298
41,0083,AUB 31-0083,486,11848.0419096023,6127632.3980348
42,3299,AUB 31-3299,236,42234.9521687974,98913985.301601
43,3335,AUB 31-3335,813,15651.8726601662,9535407.64072522
44,3405,AUB 31-3405,676,8310.00425635679,3981923.0660328
45,3800,AUB 31-3800,663,14066.6746394225,4930360.01997822
46,0041,AUB 47-0041,484,12375.5586336072,5164861.37825237
47,0045,AUB 47-0045,736,15132.7608981083,8869869.53526305
48,0055,AUB 47-0055,505,9801.88516259598,3766166.60629426
49,0059,AUB 47-0059,722,43664.7456278396,46996265.3051052
50,0072,AUB 47-0072,566,10607.5165899951,4760033.2735611
51,0073,AUB 47-0073,803,27572.7620537899,18766212.8871945
52,0074,AUB 47-0074,620,13297.8697022196,4533037.07681225
53,0328,AUB 47-0328,713,16845.5920332443,12808030.304113
54,0671,AUB 47-0671,640,10551.0817213873,6957000.02070796
55,1066,AUB 47-1066,355,13120.7829355648,6559525.71540703
56,2478,AUB 47-2478,515,8564.49914624168,2464573.79819559
57,2551,AUB 47-2551,911,18004.4844101602,14141618.6476955
